hit_distance_sc,launch_speed,launch_angle,release_spin_rate,des
292,85,39.3,2297,Kris Bryant flies out to center fielder Nick Senzel.  
319,94.1,43.3,2988,Kris Bryant flies out to center fielder Nick Senzel.  
289,93.3,36.8,2130,Kris Bryant flies out to right fielder Eric Thames.  
255,89.6,51.2,2553,Kris Bryant flies out to left fielder Peter O'Brien.  
416,110.2,25.9,2231,Kris Bryant homers (7) on a fly ball to left field.  
405,101.7,27.2,2452,Kris Bryant homers (6) on a fly ball to center field.   Kyle Schwarber scores.    Albert Almora scores.  
293,99.7,44.8,2361,Kris Bryant flies out to center fielder Isaac Galloway.  
347,94.9,37.5,2416,Kris Bryant triples (1) on a fly ball to right fielder Brian Anderson.  
403,111.4,31.7,2321,Kris Bryant homers (5) on a fly ball to left field.  
283,89.8,38.3,2449,Kris Bryant flies out to right fielder Brian Anderson.  
417,100.6,29.9,2287,Kris Bryant hits a grand slam (4) to center field.   Albert Almora scores.    Mark Zagunis scores.    Ben Zobrist scores.  
357,92.5,30.6,2191,Kris Bryant flies out to right fielder Jose Martinez.  
359,105,40.9,2478,Kris Bryant flies out sharply to center fielder Braden Bishop.  
335,101.1,45.9,2769,Kris Bryant out on a sacrifice fly to left fielder David Peralta.   Ben Zobrist scores.  
374,102,27.1,2430,Kris Bryant homers (3) on a fly ball to right center field.    Jose Quintana scores.  
358,95.3,35.6,2230,Kris Bryant flies out to center fielder Jarrod Dyson.  
357,100.1,36.4,2152,Kris Bryant flies out sharply to right fielder Adam Jones.  
444,111.1,22.7,2331,Kris Bryant homers (2) on a fly ball to left center field.   Albert Almora scores.  
306,91.1,38.8,2886,Kris Bryant flies out to center fielder A.  J. Pollock.  
195,88.8,61.6,2495,Kris Bryant flies out to right fielder Cody Bellinger.  
382,105.4,28,2475,Kris Bryant hits a ground-rule double (7) on a fly ball to center field.  
259,76.6,35.2,2031,Kris Bryant flies out to right fielder Adam Jones.  
379,100.5,25.9,2535,Kris Bryant flies out sharply to right fielder Isaac Galloway.  
301,84.1,31.6,2028,"Kris Bryant flies into a double play, right fielder Isaac Galloway to third baseman Brian Anderson.   Daniel Descalso out at 3rd.  "
324,85.4,33.3,2234,Kris Bryant flies out to center fielder Lewis Brinson.  
351,94.4,34.8,2228,Kris Bryant flies out to right fielder Austin Dean.  
279,88,41.8,2569,Kris Bryant flies out to right fielder Melky Cabrera.  
261,80.4,39.5,2479,Kris Bryant flies out to center fielder Starling Marte.  
301,94.6,28.9,1750,Kris Bryant doubles (4) on a fly ball to right fielder Melky Cabrera.   Jason Heyward scores.  
334,88.7,31.3,2230,Kris Bryant flies out to center fielder Lorenzo Cain.  
216,80.5,54.5,2515,Kris Bryant flies out to right fielder Christian Yelich.  
276,100.1,51.6,2412,Kris Bryant flies out sharply to center fielder Ronald Acuna.  
346,98.2,31.6,2493,Kris Bryant flies out to right fielder Nomar Mazara.  
426,104.6,24.2,2115,Kris Bryant homers (1) on a fly ball to right center field.    Albert Almora scores.  
373,111.2,40.4,2741,Kris Bryant flies out sharply to left fielder Joey Gallo.  
